group_id,group_name,bot_role,integration,inquiry,objective_quality,initial_preference,initial_majority_nancy,initial_consensus_type,total_discussion_time,total_discussion_cycles,final_decision_attempts,consensus_ratio,ai_average_utterance_length,human_average_utterance_length,human_contribution_balance_cv
Cd30ced64d4aec515f7c494f0a7ec68a6,決策群組 #302,探究型AI,N,Y,0,1,0,-1,1020.826204,2,1,1.0,96.5,41.2,0.4369730239921695
Cd3f2df964de0fbc4f92704cd803bf8c6,決策群組 #104,混合型AI,Y,Y,0,0,0,0,1935.005724,5,1,0.5,279.4,31.065217391304348,0.355128116406072
Cd3f5411159af53565b280003586602ea,決策群組 #409,無介入AI,N,N,1,1,1,1,1785.970635,2,1,0.5,61.5,34.18518518518518,0.12223016057352508
Cd4bcbd7682f05f2eb3ad2474c24aaaed,決策群組 #103,混合型AI,Y,Y,1,0,0,0,1659.125475,2,1,0.5,276.0,49.86206896551724,0.2771140217212623
Cd7666516ba2b9445ef855462a3a3e045,決策群組 #213,整合型AI,Y,N,0,1,0,-1,991.317062,3,2,1.0,258.3333333333333,21.18421052631579,0.14814413304516608
Cd9e0f55efd971d55558149dcac5dde48,決策群組 #402,無介入AI,N,N,1,1,1,1,495.668836,1,1,1.0,67.0,24.41176470588235,0.4161216254195644
Cdc1723e98268a7601bfebc2a464da358,決策群組 #310,探究型AI,N,Y,0,0,0,0,847.956165,3,1,1.0,86.33333333333333,31.666666666666668,0.5868991397034692
Ce24f1302eaa378b269db08a39a16a4e4,決策群組 #309,探究型AI,N,Y,1,1,0,-1,1580.278548,1,1,0.5,93.0,29.043478260869566,0.06613988633046265
Ce46794439cc2ab6709b591a743db4608,決策群組 #205,整合型AI,Y,N,1,1,1,1,1092.625382,19,1,1.0,180.21052631578948,13.169354838709678,0.14002530410842357
Ce6f41b76375fde125ab931e42038239c,決策群組 #306,探究型AI,N,Y,0,1,0,-1,1863.140513,38,1,0.5,99.63157894736842,11.178423236514522,0.076673161859081
Cea6105c5f9bafde7ca52247503112386,決策群組 #101,混合型AI,Y,Y,1,1,1,1,758.046097,3,1,1.0,261.3333333333333,19.75,0.33296342905629744
Ceb09482282ce517ad5f8a49bb6ceb833,決策群組 #210,整合型AI,Y,N,0,0,0,0,1521.81506,5,1,0.5,313.6,25.361702127659573,0.05399192251578552
Cf4caf73277dfa399260e6be8931fbf5d,決策群組 #408,無介入AI,N,N,0,1,0,-1,929.493546,1,1,1.0,68.0,22.25,0.2912865818113503
Cf5b19f3ffb0ee4029ae8a790dbd73dc3,決策群組 #201,整合型AI,Y,N,0,1,0,-1,1033.548422,1,1,0.5,279.0,39.96,0.130506885113687
Cf7af6c1127223a863644b31657df9a96,決策群組 #209,整合型AI,Y,N,0,1,0,-1,1868.620922,2,1,0.5,372.0,49.88,0.16835069987807702
